"Raison Sociale",SIREN,Année,Note,Structure,"Nom UES","Entreprises UES (SIREN)",Région,Département
"SUEZ RV FRANCE",775690035,2019,88/100,"Unité Economique et Sociale (UES)",ALPHA,"SUEZ RV SUD OUEST (701980203), SUEZ RV OUEST (344263702), SUEZ RV NORMANDIE (788261626), SUEZ RV NORD EST (504726787), SUEZ RV MEDITERRANEE (712620715), SUEZ RV ILE DE FRANCE (662014489), SUEZ RV CENTRE OUEST (343004511), SUEZ RV CENTRE EST (343488508)",Ile-de-France,Hauts-de-Seine
"ALSACE CROISIERES CROISIEUROPE",998348601,2019,51/100,Entreprise,"","","Grand Est",Bas-Rhin
"ALSTOM POWER SERVICE",424210599,2019,78/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"ALSTOM POWER SYSTEMS",389192030,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
ALTEN,348607417,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ALTEN SUD OUEST",404191447,2019,89/100,Entreprise,"","",Occitanie,Haute-Garonne
"ALTEN SYSTEMES D'INFORMATION ET RESEAUX",400357885,2019,89/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ALTRAN TECHNOLOGIES",702012956,2019,89/100,"Unité Economique et Sociale (UES)",ALTRAN,"ALTRAN LAB (449397561), ALTRAN PROTOTYPES AUTOMOBILES (487549693), ALTRAN EDUCATION SERVICES (432037851)",Ile-de-France,Hauts-de-Seine
AMADEUS,344496252,2019,86/100,Entreprise,"","","Provence-Alpes-Côte d'Azur",Alpes-Maritimes
"TOTAL SA",542051180,2019,90/100,"Unité Economique et Sociale (UES)","AMONT - GLOBAL SERVICES - HOLDING","ELF EXPLORATION PRODUCTION (409160017), TOTAL GLOBAL INFORMATION TECHNOLOGY SERVICES (531680437), TOTAL GLOBAL PROCUREMENT (539072819), TOTAL LEARNING SOLUTIONS (538613860), TOTAL GLOBAL HUMAN RESOURCES SERVICES (539082784), TOTAL CONSULTING (538612482), TOTAL FACILITIES MANAGEMENT SERVICES (539082388), TOTAL GLOBAL FINANCIAL SERVICES (539082735)",Ile-de-France,Hauts-de-Seine
"Amrest Opco SAS",831200043,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Amundi Asset Management",437574452,2019,83/100,"Unité Economique et Sociale (UES)",Amundi,"Amundi (314222902), Amundi intermediation (352020200), Amundi Finance (421304601), Amundi IT Services (344121686), Amundi immobilier (315429837), Amundi Private equity funds (42233575), BFT Investment Managers (334316965), CPR Asset Management (399392141), Etoile gestion (784393688), Amundi ESR (433221074), Société Générale Gestion (491910691), Amundi Transition Energetique (804751147)",Ile-de-France,Paris
"ANDROS SNC",428682447,2019,94/100,Entreprise,"","",Occitanie,Lot
ANRH,775660970,2019,79/100,Entreprise,"","",Ile-de-France,Paris
"ANSAMBLE SAS",334159472,2019,94/100,Entreprise,"","",Bretagne,Morbihan
AOCDTF,775662026,2019,100/100,Entreprise,"","",Ile-de-France,Paris
"AOSTE SNC",388818726,2019,94/100,Entreprise,"","",Auvergne-Rhône-Alpes,Isère
APAMAD,509168480,2019,79/100,Entreprise,"","","Grand Est",Haut-Rhin
"APEI du Douaisis",775622129,2019,79/100,Entreprise,"","",Hauts-de-France,Nord
"APEI MOSELLE",775619596,2019,72/85,Entreprise,"","","Grand Est",Moselle
"Apple Retail France E.U.R.L",483209383,2019,89/100,Entreprise,"","",Ile-de-France,Paris
"APRR (autoroutes paris rhin rhône)",16250029,2019,89/100,Entreprise,"","",Bourgogne-Franche-Comté,"Côte-d'or"
APSIDE,309065084,2019,79/100,"Unité Economique et Sociale (UES)",APSIDE,"APSIDE TECHNOLOGIES (333455400), APSIDE INFOGERANCE (477699201)",Ile-de-France,Hauts-de-Seine
"APTAR FRANCE SAS",552081739,2019,87/100,Entreprise,"","",Normandie,Eure
"ArcelorMittal France",562094425,2019,84/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
"ArcelorMittal Méditerranée",421174038,2019,83/100,Entreprise,"","",Ile-de-France,Seine-Saint-Denis
ARGEDIS,306916099,2019,94/100,"Unité Economique et Sociale (UES)",ARGEDIS,"LOGEDIF (437622780), LOIRETAL (382579977)",Ile-de-France,Hauts-de-Seine
ARHM,779868728,2019,78/100,Entreprise,"","",Auvergne-Rhône-Alpes,Rhône
"ArianeGroup SAS",519032247,2019,89/100,Entreprise,"","",Ile-de-France,Paris
"ARKEMA FRANCE",319632790,2019,88/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"Armand Thiery SAS",380622332,2019,81/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
arpege,312147770,2019,94/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ARRIVE SAS",546650367,2019,84/100,Entreprise,"","","Pays de la Loire",Vendée
ARSEA,775641830,2019,99/100,Entreprise,"","","Grand Est",Bas-Rhin
ARSEAA,775581218,2019,63/80,Entreprise,"","",Occitanie,Haute-Garonne
"ARVAL SERVICE LEASE",352256424,2019,86/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
ASEI,775581226,2019,73/80,Entreprise,"","",Occitanie,Haute-Garonne
ASRL,775624067,2019,79/100,Entreprise,"","",Hauts-de-France,Nord
"ASSA ABLOY FRANCE",412140907,2019,87/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
"ASSA ABLOY FRANCE",412140907,2019,87/100,Entreprise,"","",Ile-de-France,Hauts-de-Seine
Association,775627037,2019,79/100,Entreprise,"","",Hauts-de-France,Nord
"Association Adèle de Glaubitz",384493284,2019,96/100,Entreprise,"","","Grand Est",Bas-Rhin
"Association d'Hygiène Sociale de Franche-Comté",775571300,2019,64/65,Entreprise,"","",Bourgogne-Franche-Comté,Doubs
"Association de Moyens KLESIA",752610147,2019,90/100,Entreprise,"","",Ile-de-France,Paris
"Association GROUPE SOS Solidarités",341062404,2019,79/100,Entreprise,"","",Ile-de-France,Paris
